repaired,relative,music_exists,repaired_size,music_size,repaired_dur,music_dur,pcm_same,recommendation
"/Volumes/dotad/ReallyRepaired/Phoenix - (2001) If I Ever Feel Better - 02. ""If I Ever Feel Better, I'd Go to the Disco,"" Said the Buffalo Bunch.repaired.flac","Phoenix - (2001) If I Ever Feel Better - 02. ""If I Ever Feel Better, I'd Go to the Disco,"" Said the Buffalo Bunch.repaired.flac",True,45109743,45109743,369.466667,369.466667,NA,KEEP_MUSIC (duplicate)
/Volumes/dotad/ReallyRepaired/Phoenix - (2006) It's Never Been Like That - 02. Consolation Prizes.repaired.flac,Phoenix - (2006) It's Never Been Like That - 02. Consolation Prizes.repaired.flac,True,25039611,25039611,196.253333,196.253333,NA,KEEP_MUSIC (duplicate)
/Volumes/dotad/ReallyRepaired/Prins Thomas - (2016) Toransu EP - 04. Toransu.repaired.flac,Prins Thomas - (2016) Toransu EP - 04. Toransu.repaired.flac,True,40933480,40933480,414.616848,414.616848,NA,KEEP_MUSIC (duplicate)
/Volumes/dotad/ReallyRepaired/Philippe Lavil - (1987) The Best Of - 02. Jamaïcaine.repaired (1).flac,Philippe Lavil - (1987) The Best Of - 02. Jamaïcaine.repaired (1).flac,True,24620950,24620950,210.826667,210.826667,NA,KEEP_MUSIC (duplicate)
/Volumes/dotad/ReallyRepaired/Rod Stewart - (1998) Every Picture Tells a Story - 01. Every Picture Tells a Story.repaired.flac,Rod Stewart - (1998) Every Picture Tells a Story - 01. Every Picture Tells a Story.repaired.flac,False,12388519,,23.549271,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/James Curd - (XXXX) Laid Back with It (Remixes) - 02. Laid Back with It (Ant LaRock Remix).flac,James Curd - (XXXX) Laid Back with It (Remixes) - 02. Laid Back with It (Ant LaRock Remix).flac,True,8181109,8181109,49.824,49.824,NA,KEEP_MUSIC (duplicate)
/Volumes/dotad/ReallyRepaired/Led Zeppelin - (2015) Physical Graffiti - 02-02. Bron-Yr-Aur.flac,Led Zeppelin - (2015) Physical Graffiti - 02-02. Bron-Yr-Aur.flac,True,48066967,48066967,132.721594,132.721594,NA,KEEP_MUSIC (duplicate)
/Volumes/dotad/ReallyRepaired/Patti Smith - (2005) Horses - 06. Break It Up.flac,Patti Smith - (2005) Horses - 06. Break It Up.flac,True,94195207,94195207,244.672,244.672,NA,KEEP_MUSIC (duplicate)
/Volumes/dotad/ReallyRepaired/Toufic Farroukh - (2002) Drab Zeen - 06. Callipyge.repaired.flac,Toufic Farroukh - (2002) Drab Zeen - 06. Callipyge.repaired.flac,False,14780265,,142.306667,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Robyn - (2007) Robyn - 07. With Every Heartbeat.repaired.flac,Robyn - (2007) Robyn - 07. With Every Heartbeat.repaired.flac,False,32306291,,255.186667,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/dopla - (2017) Coming Home | Kitsuné Hot Stream (single) - 01. Coming Home.flac,dopla - (2017) Coming Home | Kitsuné Hot Stream (single) - 01. Coming Home.flac,False,47681599,,233.766236,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/YACHT - (2009) Psychic City - 02. Psychic City (Classixx remix).flac,YACHT - (2009) Psychic City - 02. Psychic City (Classixx remix).flac,False,27830409,,251.380952,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Ø - (2025) Sysivalo - 01. Etude 1.repaired.flac,Ø - (2025) Sysivalo - 01. Etude 1.repaired.flac,False,15232299,,187.166259,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/The Doors - (1971) L.A. Woman - 02. Love Her Madly.repaired.flac,The Doors - (1971) L.A. Woman - 02. Love Her Madly.repaired.flac,False,11451530,,15.362667,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Shygirl & Club Shy - (2025) Room 2 RMX - 01-02. Flex (Merca Bae remix).repaired.flac,Shygirl & Club Shy - (2025) Room 2 RMX - 01-02. Flex (Merca Bae remix).repaired.flac,False,50361567,,248.627771,,NA,COPY->MUSIC
"/Volumes/dotad/ReallyRepaired/Johann Sebastian Bach; Lang Lang - (2021) Goldberg Variations (extended edition) - 02-07. Goldberg Variations, BWV 988: Variatio 6 Canone alla Seconda. a 1 Clav. (live at Thomaskirche, Leipzig, 2020).repaired.flac","Johann Sebastian Bach; Lang Lang - (2021) Goldberg Variations (extended edition) - 02-07. Goldberg Variations, BWV 988: Variatio 6 Canone alla Seconda. a 1 Clav. (live at Thomaskirche, Leipzig, 2020).repaired.flac",True,20159075,20159075,66.906667,66.906667,NA,KEEP_MUSIC (duplicate)
/Volumes/dotad/ReallyRepaired/Alan Braxe & Fred Falke - (2000) Running - 02. Most Wanted.flac,Alan Braxe & Fred Falke - (2000) Running - 02. Most Wanted.flac,True,42350326,42350326,394.253333,394.253333,NA,KEEP_MUSIC (duplicate)
/Volumes/dotad/ReallyRepaired/Greenskeepers - (2020) The Girl Is Hot - Single - 01. The Girl Is Hot.flac,Greenskeepers - (2020) The Girl Is Hot - Single - 01. The Girl Is Hot.flac,True,83270999,83270999,394.434785,394.434785,NA,KEEP_MUSIC (duplicate)
