repaired,relative,music_exists,repaired_size,music_size,repaired_dur,music_dur,pcm_same,recommendation
"/Volumes/dotad/ReallyRepaired/MGMT - (2013) MGMT - 08. I Love You Too, Death.flac","MGMT - (2013) MGMT - 08. I Love You Too, Death.flac",False,134923694,,350.277333,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Sufjan Stevens - (2021) Convocations - 23. Revelation III.repaired (1).flac,Sufjan Stevens - (2021) Convocations - 23. Revelation III.repaired (1).flac,False,10258254,,121.057542,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Pink Floyd - (1994) Atom Heart Mother - 05. Alan's Psychedelic Breakfast: a) Rise and Shine  b) Sunny Side Up  c) Morning Glory.repaired.flac,Pink Floyd - (1994) Atom Heart Mother - 05. Alan's Psychedelic Breakfast: a) Rise and Shine  b) Sunny Side Up  c) Morning Glory.repaired.flac,False,552873041,,780.146667,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Violet Orlandi - (2022) Welcome Home (single) - 01. Welcome Home.flac,Violet Orlandi - (2022) Welcome Home (single) - 01. Welcome Home.flac,False,58224149,,274.950839,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Prins Thomas - (2016) Principe del norte - 01-05. D.flac,Prins Thomas - (2016) Principe del norte - 01-05. D.flac,False,73752592,,712.229274,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Tamer Nafar - (2017) Johnnie Mashi - 01. Johnnie Mashi.repaired (1).flac,Tamer Nafar - (2017) Johnnie Mashi - 01. Johnnie Mashi.repaired (1).flac,False,33492867,,256.1161,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/The Roots - (2004) The Tipping Point - 10. Why (What's Goin On?).flac,The Roots - (2004) The Tipping Point - 10. Why (What's Goin On?).flac,False,26331248,,218.697143,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Stéphane Pompougnac - (2004) Hôtel Costes: Best of... - 09. Where Do I Begin (Awayteam mix).flac,Stéphane Pompougnac - (2004) Hôtel Costes: Best of... - 09. Where Do I Begin (Awayteam mix).flac,False,13448951,,62.693878,,NA,COPY->MUSIC
"/Volumes/dotad/ReallyRepaired/Grimes - (2015) Art Angels - 11. World Princess, part II (1).flac","Grimes - (2015) Art Angels - 11. World Princess, part II (1).flac",False,102921631,,341.155667,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Sufjan Stevens - (2021) Convocations - 49. Incantation IX.flac,Sufjan Stevens - (2021) Convocations - 49. Incantation IX.flac,False,23282274,,268.750042,,NA,COPY->MUSIC
"/Volumes/dotad/ReallyRepaired/Tiga - (2009) Ciao! - 09. Speak, Memory.flac","Tiga - (2009) Ciao! - 09. Speak, Memory.flac",False,30907018,,221.386667,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/DAM - (2012) Dabke on the Moon - 02. I'm Not a Traitor (1).flac,DAM - (2012) Dabke on the Moon - 02. I'm Not a Traitor (1).flac,False,28942935,,241.16,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Various Artists - (2024) Mood Grooves Vol. 1 - 03. Dead Cities (Matthias Meyer remix).repaired (1).flac,Various Artists - (2024) Mood Grooves Vol. 1 - 03. Dead Cities (Matthias Meyer remix).repaired (1).flac,False,48749749,,464.0,,NA,COPY->MUSIC
