status,reason,music_path,dd_path,m_duration,d_duration,m_size,d_size,m_healthy,d_healthy,m_codec,d_codec
MISSING_IN_MUSIC,No basename match found in MUSIC,,/Volumes/dotad/DD/_quarantine_from_gemini/Alsarah/(2022) Manara Remixed/Alsarah - (2022) Manara Remixed - 04. Nar (Nickodemus & Kiko Navarro Remix) (1).flac,,,,47279273,,,,
MISSING_IN_MUSIC,No basename match found in MUSIC,,/Volumes/dotad/DD/_quarantine_from_gemini/Alex M.O.R.P.H./(2013) Prime Mover - The Remixes/Alex M.O.R.P.H. - (2013) Prime Mover - The Remixes - 18. I See You (Matt Bukovski remix) (1).flac,,,,47808241,,,,
MISSING_IN_MUSIC,No basename match found in MUSIC,,/Volumes/dotad/DD/_quarantine_from_gemini/Al-Qasar/(2024) Uncovered/Al-Qasar - (2024) Uncovered - 01. Kişisel İsa (Personal Jesus) (1).flac,,,,59637670,,,,
MISSING_IN_MUSIC,No basename match found in MUSIC,,/Volumes/dotad/DD/_quarantine_from_gemini/Al-Qasar/(2024) Uncovered/Al-Qasar - (2024) Uncovered - 04. Ssir W Ztam (Get Busy) (1).flac,,,,58057322,,,,
MISSING_IN_MUSIC,No basename match found in MUSIC,,/Volumes/dotad/DD/_quarantine_from_gemini/Black Coffee & David Guetta feat. Delilah Montagu/(2018) Drive (Remixes)/Black Coffee & David Guetta feat. Delilah Montagu - (2018) Drive (Remixes) - 05. Drive (Pablo Fierro remix) (1).flac,,,,53162569,,,,
MISSING_IN_MUSIC,No basename match found in MUSIC,,/Volumes/dotad/DD/_quarantine_from_gemini/Alanis Morissette/(2020) Jagged Little Pill/Alanis Morissette - (2020) Jagged Little Pill - 04. Hand in My Pocket (1).flac,,,,52083178,,,,
MISSING_IN_MUSIC,No basename match found in MUSIC,,/Volumes/dotad/DD/_quarantine_from_gemini/Alicia Keys/(2021) The Diary of Alicia Keys/Alicia Keys - (2021) The Diary of Alicia Keys - 06. If I Ain't Got You (1).flac,,,,24910706,,,,
MISSING_IN_MUSIC,No basename match found in MUSIC,,"/Volumes/dotad/DD/Rosalyn Tureck/(2022) Bach - Goldberg Variations & Well Tempered Clavier/Rosalyn Tureck - (2022) Bach - Goldberg Variations & Well Tempered Clavier - 68. Das Wohltemperierte Klavier: Book 1, BWV 846-869: Prelude in A Major BWV 864.flac",,,,4945143,,,,
MISSING_IN_MUSIC,No basename match found in MUSIC,,/Volumes/dotad/DD/KAYTRANADA/(2025) AIN'T NO DAMN WAY!/KAYTRANADA - (2025) AIN'T NO DAMN WAY! - 08. SHINE YOUR LIGHT FOR WE.flac,,,,36875071,,,,
MISSING_IN_MUSIC,No basename match found in MUSIC,,/Volumes/dotad/DD/KAYTRANADA/(2025) AIN'T NO DAMN WAY!/KAYTRANADA - (2025) AIN'T NO DAMN WAY! - 10. DON'T WORRY BABE  I GOT U BABE.flac,,,,38940226,,,,
