path,stream_md5,size_bytes
/Volumes/dotad/MUSIC/Rufus Wainwright/(2007) Release the Stars/Rufus Wainwright - (2007) Release the Stars - 04. Nobody's Off the Hook.flac,,25427968
/Volumes/dotad/MUSIC/Rufus Wainwright/(2007) Rufus Does Judy at Carnegie Hall/Rufus Wainwright - (2007) Rufus Does Judy at Carnegie Hall - 01-02. When You're Smiling (The Whole World Smiles With You).flac,,25427968
/Volumes/dotad/MUSIC/Rufus Wainwright/(2007) Rufus Does Judy at Carnegie Hall/Rufus Wainwright - (2007) Rufus Does Judy at Carnegie Hall - 02-06. If Love Were All.flac,,25427968
/Volumes/dotad/MUSIC/Rufus Wainwright/(2014) Vibrate: The Best of Rufus Wainwright/Rufus Wainwright - (2014) Vibrate: The Best of Rufus Wainwright - 01-14. Dinner at Eight.flac,,25427968
/Volumes/dotad/MUSIC/Rufus Wainwright/(2014) Vibrate: The Best of Rufus Wainwright/Rufus Wainwright - (2014) Vibrate: The Best of Rufus Wainwright - 02-01. Bitter Tears.flac,,25427968
/Volumes/dotad/MUSIC/Salma/(2001) Monodose/Salma - (2001) Monodose - 06. Assa'Ada'Llahou Massa'Akom.flac,,25427968
/Volumes/dotad/MUSIC/Say Lou Lou/(2015) Lucid Dreaming/Say Lou Lou - (2015) Lucid Dreaming - 03. Games for Girls.flac,,25427968
/Volumes/dotad/MUSIC/Scroobius Pip/(2011) Distraction Pieces/Scroobius Pip - (2011) Distraction Pieces - 08. Broken Promise.flac,,25427968
/Volumes/dotad/MUSIC/Seelenluft/(2002) Out of the Woods/Seelenluft - (2002) Out of the Woods - 02. Manila.flac,,25427968
/Volumes/dotad/MUSIC/Sneaker Pimps/(1996) Becoming X/Sneaker Pimps - (1996) Becoming X - 03. 6 Underground.flac,,25427968
/Volumes/dotad/MUSIC/Steve Lacy/(2019) Apollo XXI/Steve Lacy - (2019) Apollo XXI - 03. Playground.flac,,25427968
/Volumes/dotad/MUSIC/Steve Lacy/(2019) Apollo XXI/Steve Lacy - (2019) Apollo XXI - 09. Love 2 Fast.flac,,25427968
